cluster_id,contour_id,point_index,x,y
0,10,6,36,49
0,10,7,37,50
0,10,8,37,51
0,10,9,39,53
0,10,10,41,53
0,10,11,42,54
0,10,12,44,54
0,10,13,45,55
0,10,14,49,55
0,10,15,51,53
0,10,16,51,52
0,10,17,52,51
0,10,18,52,48
0,10,19,53,47
0,10,20,53,46
0,10,21,54,45
0,10,22,54,43
0,10,23,55,42
0,10,24,54,41
0,10,25,51,41
0,10,26,50,42
0,10,27,49,42
0,10,28,47,44
0,10,29,46,44
0,10,30,45,43
0,10,31,42,43
0,10,32,40,41
0,10,33,39,41
0,10,34,37,39
0,10,35,37,38
0,10,36,36,37
0,11,0,1594,49
0,11,1,1555,32
0,11,2,1522,48
0,11,3,1520,63
0,11,4,1444,105
0,11,5,1368,104
0,11,6,1338,131
0,11,7,1306,176
0,11,8,1262,181
0,11,9,1244,196
0,11,10,1241,211
0,11,11,1234,204
0,11,12,1121,272
0,11,13,1100,296
0,11,14,1129,344
0,11,15,1154,368
0,11,16,1145,368
0,11,17,1124,347
0,11,18,1119,372
0,11,19,1100,388
0,11,20,1108,397
0,11,21,1106,402
0,11,22,1092,393
0,11,23,1076,392
0,11,24,1024,411
0,11,25,1011,435
0,11,26,1004,474
0,11,27,1019,474
0,11,28,1048,458
0,11,29,1113,400
0,11,30,1141,381
0,11,31,1151,386
0,11,32,1148,378
0,11,33,1156,370
0,11,34,1161,374
0,11,35,1159,381
0,11,36,1171,378
0,11,37,1271,316
0,11,38,1328,273
0,11,39,1362,229
0,11,40,1373,228
0,11,41,1396,210
0,11,42,1415,211
0,11,43,1434,197
0,11,44,1546,88
0,11,45,1551,77
0,11,46,1559,77
0,12,0,55,25
0,12,1,56,26
0,12,2,56,27
0,12,3,58,29
0,12,4,67,29
0,12,5,68,28
0,12,6,71,27
0,12,7,74,24
0,12,8,75,24
0,12,9,77,22
0,12,10,78,22
0,12,11,81,20
0,12,12,84,20
0,12,13,85,19
0,12,14,86,19
0,12,15,87,18
0,12,16,87,15
0,12,17,89,13
0,12,18,91,13
0,12,19,92,12
0,12,20,93,12
0,12,21,94,13
0,12,22,97,13
0,12,23,98,12
0,12,24,99,12
0,12,25,100,11
0,12,26,100,10
0,12,27,104,6
0,12,28,105,6
0,12,29,106,5
0,12,30,109,5
0,12,31,109,3
0,12,32,97,3
0,12,33,96,2
0,12,34,74,2
0,12,35,73,3
0,12,36,72,3
0,12,37,72,6
